time,heuristic_obj,meta_obj,instance_no,job_perm,order_perm,heuristic,proceesor_num,order_num,job_num,exceeded
1.0219619274139404,172.23414387314818,169.23414387314818,1,llf,ml,ls,3,3,20,False
1.5028901100158691,106.92745099727895,101.08253733240771,1,llf,ml,ls,4,3,20,False
1.450002670288086,97.18799248750146,97.18799248750146,1,slf,ml,bf,5,3,20,False
1.3603174686431885,124.83903182715223,122.58903182715223,1,slf,ml,fbs,3,5,20,False
1.5169732570648193,163.32852655795534,162.1592499483541,1,llf,wp,bf,4,5,20,False
1.9599874019622803,140.68093662367986,140.68093662367986,1,llf,wp,ls,5,5,20,False
1.107673168182373,221.3230796874796,219.8230796874796,1,llf,ml,ls,3,7,20,False
1.587193489074707,209.520986907413,208.01624491389455,1,llf,ml,ls,4,7,20,False
2.327047824859619,188.4533438853721,188.4533438853721,1,llf,ml,ls,5,7,20,False
1.1075377464294434,215.06452676249515,212.76703271796754,1,llf,ml,ls,3,9,20,False
1.7584590911865234,195.69170491827768,194.27793427840615,1,llf,ml,ls,4,9,20,False
2.5576186180114746,178.04823788962574,178.04823788962574,1,llf,ml,ls,5,9,20,False
2.0118935108184814,220.58473046184264,211.68040117592352,1,llf,wp,ls,3,3,30,False
2.9923453330993652,157.59312430556605,150.20001287015617,1,llf,ml,ls,4,3,30,False
3.782214879989624,131.57846967584905,131.57846967584905,1,slf,wp,bf,5,3,30,False
2.8545432090759277,294.3881986394376,293.3881986394376,1,slf,ml,fbs,3,5,30,False
2.7887825965881348,184.7508887635712,173.66974482757138,1,llf,wp,ls,4,5,30,False
3.8895020484924316,147.13307134004933,145.42048567676778,1,llf,ml,ls,5,5,30,False
1.8924651145935059,413.5397684982363,398.78356939779627,1,llf,ml,ls,3,7,30,False
3.0205397605895996,257.37541206194624,248.5776489746051,1,llf,wp,ls,4,7,30,False
4.068548917770386,193.41104423015182,193.41104423015182,1,slf,wp,bf,5,7,30,False
2.0667545795440674,388.9597152290258,379.14760122293467,1,llf,ml,ls,3,9,30,False
3.114267349243164,318.62326459225505,316.10380019725085,1,llf,ml,ls,4,9,30,False
4.45887017250061,217.08167095339917,209.94845013061186,1,llf,ml,ls,5,9,30,False
6.174420595169067,322.60350806474133,315.9988269969198,1,slf,wp,fbs,3,3,40,False
5.240200042724609,287.09151897663503,270.5528123477042,1,llf,ml,ls,4,3,40,False
6.605797529220581,207.17937344734503,185.17854473983698,1,llf,wp,ls,5,3,40,False
5.0093865394592285,385.3105505702139,378.32626335224836,1,slf,wp,fbs,3,5,40,False
4.807849407196045,260.53395171140284,247.77768351969962,1,llf,wp,ls,4,5,40,False
6.282808542251587,252.6864649951671,226.42364016855768,1,slf,wp,ls,5,5,40,False
5.357428312301636,486.96888014819206,480.24088046247954,1,slf,ml,fbs,3,7,40,False
5.316896438598633,324.29674484185637,309.61817911503124,1,llf,ml,ls,4,7,40,False
7.020165920257568,292.43667449399743,280.071535428259,1,llf,wp,ls,5,7,40,False
4.850706100463867,576.5786983641876,575.0786983641876,1,slf,ml,fbs,3,9,40,False
5.484919309616089,399.53812066520476,387.32483512492263,1,llf,ml,ls,4,9,40,False
11.507259130477905,378.36107011166234,371.8503990620447,1,slf,ml,fbs,5,9,40,False
6.892943620681763,356.9091178990712,331.5632112848767,1,slf,ml,ls,3,3,50,False
8.694973468780518,326.2609934501508,302.9644015309009,1,llf,wp,ls,4,3,50,False
10.470550060272217,292.3357762899486,263.27796425052543,1,slf,wp,ls,5,3,50,False
8.3488028049469,636.1433775344617,626.7573857963966,1,slf,ml,fbs,3,5,50,False
7.402043342590332,471.24412194964475,446.5278936273431,1,llf,ml,ls,4,5,50,False
9.612106084823608,361.1082331990602,337.4505008081601,1,llf,ml,ls,5,5,50,False
7.530240774154663,649.0822901878562,631.8245787303699,1,slf,wp,fbs,3,7,50,False
7.277142286300659,473.13017323940835,457.74584370184357,1,llf,ml,ls,4,7,50,False
9.503076553344727,349.5474327865523,329.94186212300605,1,llf,wp,ls,5,7,50,False
4.868042945861816,775.2768449296686,761.8797589860656,1,llf,wp,ls,3,9,50,False
11.997030973434448,553.5380513481769,551.6108408789185,1,slf,ml,fbs,4,9,50,False
9.812330961227417,441.659513961338,437.5321084543948,1,llf,wp,ls,5,9,50,False
