time,obj,optimal,proceesor_num,order_num,job_num
0.11964941024780273,161.0874371086049,True,3,3,20
0.22921276092529297,105.98002992728262,True,4,3,20
0.858722448348999,125.59632415233403,True,5,3,20
0.7518572807312012,187.13076604567848,True,3,5,20
3.6245667934417725,125.4946391857399,True,4,5,20
4.313966274261475,143.5063588621273,True,5,5,20
1.9528186321258545,187.8282953297124,True,3,7,20
18.854591608047485,145.10992254625953,True,4,7,20
49.09717679023743,165.87878487413477,True,5,7,20
6.035216569900513,238.76091927939797,True,3,9,20
4142.669241905212,180.05460731039202,True,4,9,20
6004.120368242264,164.57726899487878,False,5,9,20
0.2628023624420166,257.0428891543397,True,3,3,30
0.8402414321899414,191.12543497432318,True,4,3,30
5.438763618469238,155.0195179177295,True,5,3,30
0.49625539779663086,242.13951353843927,True,3,5,30
5.283545970916748,248.33510891548633,True,4,5,30
8.793733596801758,197.4105700285035,True,5,5,30
10.739593267440796,395.148689513353,True,3,7,30
295.64957094192505,236.48271190523843,True,4,7,30
170.0621359348297,155.1189856299434,True,5,7,30
22.673754692077637,453.9467869192134,True,3,9,30
544.4992237091064,287.347095145734,True,4,9,30
6006.783141613007,238.3690590971006,False,5,9,30
0.2708554267883301,347.03835915170885,True,3,3,40
0.9307167530059814,238.2705823801266,True,4,3,40
1.8988828659057617,244.50073653148308,True,5,3,40
1.3660519123077393,371.66874366861566,True,3,5,40
5.990050315856934,300.21360031485176,True,4,5,40
6.141683101654053,287.8412189869646,True,5,5,40
13.135807752609253,497.81387042408574,True,3,7,40
9.08066987991333,317.8774739531344,True,4,7,40
72.82335567474365,220.37627937704264,True,5,7,40
156.82067584991455,545.510238135197,True,3,9,40
6004.987143993378,404.1055955462251,False,4,9,40
6009.778356790543,329.6699665809939,False,5,9,40
0.5997679233551025,396.96529907850066,True,3,3,50
0.7413778305053711,344.28120518785863,True,4,3,50
5.634093999862671,287.13778241757336,True,5,3,50
2.1419386863708496,517.4183097253589,True,3,5,50
8.488054037094116,413.02037066614355,True,4,5,50
20.577677011489868,371.5307953855665,True,5,5,50
56.04983735084534,589.797981198656,True,3,7,50
19.06502366065979,477.0091541263747,True,4,7,50
374.7493906021118,352.79689453061,True,5,7,50
149.5800268650055,604.8494721067609,True,3,9,50
6006.40518450737,570.080234841619,False,4,9,50
6006.841235160828,397.0493321736534,False,5,9,50
