time,heuristic_obj,meta_obj,instance_no,job_perm,order_perm,heuristic,proceesor_num,order_num,job_num,exceeded
1.126500129699707,167.7500596279653,165.28891787155362,30,slf,ml,fbs,3,3,20,False
2.1412153244018555,110.10840213150792,110.10840213150792,30,llf,wml,bf,4,3,20,False
11.103431940078735,129.93625074316958,126.57359061793687,30,llf,ml,ls,5,3,20,False
1.9876477718353271,189.4204307364047,188.24779373190424,30,slf,wml,fbs,3,5,20,False
17.496970176696777,129.65929172075937,126.96987282576123,30,slf,wml,bf,4,5,20,False
19.533849477767944,143.980976833502,143.980976833502,30,llf,wml,ls,5,5,20,False
4.507984638214111,193.78165785341517,190.77367898688158,30,slf,wml,fbs,3,7,20,False
20.026992082595825,150.79064826963975,147.73779853944637,30,llf,wml,ls,4,7,20,False
53.80782461166382,166.7918021195161,165.87878867262532,30,llf,wml,ls,5,7,20,False
16.67904019355774,253.91036283745115,240.13631127571142,30,slf,wml,ls,3,9,20,False
28.829455852508545,182.48330583730558,181.03367954327473,30,llf,wml,ls,4,9,20,False
69.26175594329834,167.1300271836708,167.1300271836708,30,llf,wml,ls,5,9,20,False
2.396143913269043,265.18638813690364,265.18638813690364,30,slf,wml,fbs,3,3,30,False
8.859366416931152,202.1835362005682,202.1835362005682,30,llf,ml,ls,4,3,30,False
45.395227670669556,159.40159155537364,155.32688608388207,30,slf,wp,bf,5,3,30,False
10.847779273986816,254.34579120706334,250.6585637740452,30,slf,wml,fbs,3,5,30,False
91.21625661849976,269.8411793501501,254.4216821025026,30,slf,wml,ls,4,5,30,False
132.14302492141724,205.0061180815039,200.59164731705653,30,llf,wml,bf,5,5,30,False
18.518619060516357,414.78904999560814,409.2483579992002,30,llf,wml,ls,3,7,30,False
259.5502300262451,252.54212393552683,241.40874118278634,30,llf,ml,ls,4,7,30,False
183.64181280136108,166.6194784688028,164.44931227818228,30,llf,ml,ls,5,7,30,False
26.79292130470276,474.0416788369373,474.0416788369373,30,llf,wml,ls,3,9,30,False
178.6069052219391,308.78386793194534,287.85470288195916,30,llf,wml,ls,4,9,30,False
336.66519713401794,246.7772474543682,241.0272474543682,30,llf,ml,ls,5,9,30,False
6.872348785400391,362.48097998164985,362.48097998164985,30,slf,wml,bf,3,3,40,False
74.40044975280762,254.48916782453801,245.06235993680474,30,llf,wml,ls,4,3,40,False
127.41572546958923,268.4570407969919,264.141754261079,30,llf,ml,ls,5,3,40,False
69.38361954689026,389.6112946924473,377.22782398884334,30,slf,wml,fbs,3,5,40,False
367.2443480491638,321.6540682891095,310.8032318874981,30,llf,wml,ls,4,5,40,False
368.82018399238586,312.34582019547184,310.1626608302853,30,llf,wml,ls,5,5,40,False
77.90993022918701,523.8253015584647,504.3011573332529,30,llf,wml,ls,3,7,40,False
224.10490441322327,338.03061551273527,334.36226006974476,30,slf,wml,fbs,4,7,40,False
753.5626847743988,236.94717864787236,228.43151083744877,30,llf,wml,ls,5,7,40,False
253.70936036109924,572.594571852275,549.9433458927026,30,llf,ml,ls,3,9,40,False
350.5979964733124,429.9819305218674,417.6002525031757,30,slf,wml,fbs,4,9,40,False
1815.2412004470825,361.9323599200021,333.812913340691,30,llf,wml,ls,5,9,40,True
15.54172158241272,407.478403559041,407.478403559041,30,slf,wml,fbs,3,3,50,False
57.47322988510132,370.5322447651405,370.5322447651405,30,llf,ml,ls,4,3,50,False
427.9014980792999,314.75492646102566,305.7521635908545,30,llf,wml,ls,5,3,50,False
102.66587591171265,544.6432350780415,527.6989763222778,30,llf,ml,ls,3,5,50,False
437.53632855415344,439.45791022969604,424.8014872360724,30,llf,wml,ls,4,5,50,False
1148.99178981781,398.3771520973227,383.7397690581827,30,llf,wml,ls,5,5,50,False
130.54755973815918,509.2644874505918,498.53639415898897,30,llf,wml,ls,3,7,50,False
771.9910976886749,497.59137417000136,489.8055913879882,30,llf,wml,ls,4,7,50,False
1811.4403314590454,390.99566769651824,376.6037478659854,30,llf,wml,ls,5,7,50,True
223.07753324508667,629.4495064417711,606.1907050770869,30,slf,wml,fbs,3,9,50,False
1277.612979888916,596.8458918576589,579.7035133984405,30,llf,ml,ls,4,9,50,False
1974.7347676753998,419.11380503359766,398.0081438075091,30,llf,wml,ls,5,9,50,True
